ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Facility_ID
2026-01-01,8.42619659,0.08152008499907437,19.00987012417989,8.42619659,8.42619659,1.2650645784187782,1.2650645784187782,1.2650645784187782,-0.0632818837815177,-0.0632818837815177,-0.0632818837815177,1.3283464622002958,1.3283464622002958,1.3283464622002958,0.0,0.0,0.0,9.691261168418778,01-24
2026-01-02,8.502047230840336,0.7284041105468655,19.985220303221368,8.502047230840336,8.502047230840336,1.945201574837182,1.945201574837182,1.945201574837182,0.2622925830020566,0.2622925830020566,0.2622925830020566,1.6829089918351252,1.6829089918351252,1.6829089918351252,0.0,0.0,0.0,10.447248805677518,01-24
2026-01-03,8.577897871680673,0.5485792680524612,19.616099742099745,8.577897871680673,8.577897871680673,1.9615521312901385,1.9615521312901385,1.9615521312901385,-0.04726243129989491,-0.04726243129989491,-0.04726243129989491,2.0088145625900333,2.0088145625900333,2.0088145625900333,0.0,0.0,0.0,10.539450002970812,01-24
2026-01-04,8.653748512521009,2.204804032286409,21.114598441556897,8.653748512521009,8.653748512521009,2.9004838967256434,2.9004838967256434,2.9004838967256434,0.6003418510472626,0.6003418510472626,0.6003418510472626,2.3001420456783808,2.3001420456783808,2.3001420456783808,0.0,0.0,0.0,11.554232409246652,01-24
2026-01-05,8.729599153557466,1.6968474971762504,20.874941083315203,8.729599153557466,8.729599153557466,2.982689184828861,2.982689184828861,2.982689184828861,0.4306728438332341,0.4306728438332341,0.4306728438332341,2.552016340995627,2.552016340995627,2.552016340995627,0.0,0.0,0.0,11.712288338386326,01-24
2026-01-06,8.805449794593923,1.414584707203136,20.81423712494182,8.805449794593923,8.805449794593923,2.457748177297435,2.457748177297435,2.457748177297435,-0.3029817323548627,-0.3029817323548627,-0.3029817323548627,2.760729909652298,2.760729909652298,2.760729909652298,0.0,0.0,0.0,11.263197971891358,01-24
2026-01-07,8.88130043563038,1.3611491041430466,21.568455911399575,8.88130043563038,8.88130043563038,2.044050292455468,2.044050292455468,2.044050292455468,-0.8797812304421007,-0.8797812304421007,-0.8797812304421007,2.9238315228975686,2.9238315228975686,2.9238315228975686,0.0,0.0,0.0,10.925350728085848,01-24
2026-01-08,8.957151076666838,1.2851891562574742,21.298643679373086,8.957151076666838,8.957151076666838,2.9768979906650106,2.9768979906650106,2.9768979906650106,-0.06328188378021969,-0.06328188378021969,-0.06328188378021969,3.0401798744452297,3.0401798744452297,3.0401798744452297,0.0,0.0,0.0,11.934049067331848,01-24
2026-01-09,9.033001718367315,2.4943665545763314,22.80559128559823,9.033001718367315,9.033001718367315,3.372253269510667,3.372253269510667,3.372253269510667,0.2622925830012398,0.2622925830012398,0.2622925830012398,3.109960686509427,3.109960686509427,3.109960686509427,0.0,0.0,0.0,12.405254987877981,01-24
2026-01-10,9.108852360067791,2.363882064615268,21.878582350109713,9.108852360067791,9.108852360067791,3.087404528392615,3.087404528392615,3.087404528392615,-0.047262431299986425,-0.047262431299986425,-0.047262431299986425,3.134666959692601,3.134666959692601,3.134666959692601,0.0,0.0,0.0,12.196256888460406,01-24
